,,,,,
,Kitti,SceneFlow,Sintel,Bonn,TUM
,,,,,
disp-out 1 [%],,,,,
disp-out 2 [%],,,,,
oflow-out [%],,,,,
sflow-out [%],,,,,
depth 1 (abs) [m],,,,,
depth 1 (rel) [m],,,,,
depth-in 1 [%],,,,,
fmeasure [%],,,,,
ego-se3-dist [m],,,,,
ego-se3-angle [deg],,,,,
ego-se3-ate [m],,,,,
objects [#],,,,,
duration [s],,,,,
